PROC CODE,PROCEDURE DESCRIPTION
90816,PSYTX HOSP 20-30 MIN               
90816,PSYTX HOSP 20-30 MIN               
90816,PSYTX HOSP 20-30 MIN               
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90817,PSYTX HOSP 20-30 MIN W/E&M         
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90818,PSYTX HOSP 45-50 MIN               
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90819,PSYTX HOSP 45-50 MIN W/E&M         
90820,INTERACTIVE MEDICAL PSYCHIATRIC DIA
90820,INTERACTIVE MEDICAL PSYCHIATRIC DIA
90820,INTERACTIVE MEDICAL PSYCHIATRIC DIA
90820,INTERACTIVE MEDICAL PSYCHIATRIC DIA
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90821,PSYTX HOSP 75-80 MIN               
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90822,PSYTX HOSP 75-80 MIN W/E&M         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90823,INTAC PSYTX HOSP 20-30 MIN         
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90824,INTAC PSYTX HSP 20-30 W/E&M        
90825,PSYCHIATRIC EVALUATION OF HOSPITAL 
90825,PSYCHIATRIC EVALUATION OF HOSPITAL 
90825,PSYCHIATRIC EVALUATION OF HOSPITAL 
90825,PSYCHIATRIC EVALUATION OF HOSPITAL 
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90826,INTAC PSYTX HOSP 45-50 MIN         
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90827,INTAC PSYTX HSP 45-50 W/E&M        
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90828,INTAC PSYTX HOSP 75-80 MIN         
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90829,INTAC PSYTX HSP 75-80 W/E&M        
90830,PSYCHOLOGICAL TESTING (INCLUDES PSY
90830,PSYCHOLOGICAL TESTING (INCLUDES PSY
90830,PSYCHOLOGICAL TESTING (INCLUDES PSY
90830,PSYCHOLOGICAL TESTING (INCLUDES PSY
90831,TELEPHONE CONSULTATION WITH OR ABOU
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90832,PSYTX W PT 30 MINUTES              
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90833,PSYTX W PT W E/M 30 MIN            
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90834,PSYTX W PT 45 MINUTES              
90835,NARCOSYNTHESIS FOR PSYCHIATRIC DIAG
90835,NARCOSYNTHESIS FOR PSYCHIATRIC DIAG
90835,NARCOSYNTHESIS FOR PSYCHIATRIC DIAG
90835,NARCOSYNTHESIS FOR PSYCHIATRIC DIAG
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90836,PSYTX W PT W E/M 45 MIN            
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90837,PSYTX W PT 60 MINUTES              
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90838,PSYTX W PT W E/M 60 MIN            
90839,PSYTX CRISIS INITIAL 60 MIN        
90839,PSYTX CRISIS INITIAL 60 MIN        
90839,PSYTX CRISIS INITIAL 60 MIN        
90839,PSYTX CRISIS INITIAL 60 MIN        
90839,PSYTX CRISIS INITIAL 60 MIN        
90839,PSYTX CRISIS INITIAL 60 MIN        
90840,PSYTX CRISIS EA ADDL 30 MIN        
90840,PSYTX CRISIS EA ADDL 30 MIN        
90840,PSYTX CRISIS EA ADDL 30 MIN        
90840,PSYTX CRISIS EA ADDL 30 MIN        
90840,PSYTX CRISIS EA ADDL 30 MIN        
90840,PSYTX CRISIS EA ADDL 30 MIN        
90841,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90841,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90841,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90842,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90842,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90842,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90842,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90843,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90843,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90843,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90843,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90844,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90844,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90844,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90844,INDIVIDUAL MEDICAL PSYCHOTHERAPY BY
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
90845,PSYCHOANALYSIS                     
